author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
hllWIWBK,5245.3,2.1458333333333335,0.9292741402116401,2.7847222222222223
zdygtEWM,540.2,2.357142857142857,0.7857142857142857,2.7857142857142856
wxZrRnpQ,246.0,3.6,0.9333333333333332,2.8
gorNeCIj,427.9,4.833333333333333,0.8888888888888888,2.8333333333333335
aFAguOqm,407.09999999999997,5.0,0.9722222222222223,2.8333333333333335
TdQtQPaJ,809.8,3.642857142857143,0.7806122448979592,2.857142857142857
NqYKRaAP,2046.1,2.0681818181818183,0.671969696969697,2.8863636363636362
QZVKDfXn,513.5,1.5294117647058822,0.5816993464052288,2.9411764705882355
NWpkUfZl,236.8,4.333333333333333,0.7936507936507936,3.0
wWceBkgO,219.39999999999998,3.5,0.8500000000000001,3.0
niNocaGc,58.4,3.0,0.75,3.0
SWhhiJvv,122.8,8.0,0.8888888888888888,3.0
rhvGiKzX,123.5,7.0,0.7777777777777778,3.0
SQZIaGrM,265.8,2.4,0.5583333333333333,3.0
ofxIssyZ,33.9,3.0,1.0,3.0
uibjKRsk,326.7,7.0,0.9212962962962963,3.0
bvDgJMUQ,101.0,7.0,1.0,3.0
RTthqfjS,98.4,3.0,0.75,3.0
godFofNU,87.0,5.0,0.8333333333333334,3.0
KazfMZrf,50.0,1.0,0.25,3.0
QccgJRBH,228.0,6.5,0.8333333333333333,3.0
kLHZBvfF,117.1,7.0,0.875,3.0
